#x_m,y_m,w_tr_right_m,w_tr_left_m
11.040000000000001,28.1,10.396684676325412,10.64
11.06,28.080000000000002,10.394461542846868,10.66
11.08,28.080000000000002,10.407478891952554,10.68
11.1,28.1,10.43568179673065,10.700000000000001
11.120000000000001,28.1,10.44872342720562,10.72
11.14,28.080000000000002,10.446658471621573,10.74
11.48,28.080000000000002,10.672199420169418,11.08
11.5,28.060000000000002,10.670862658347813,11.1
11.82,28.060000000000002,10.888968066214025,11.42
11.84,28.04,10.88829482251416,11.44
11.86,28.04,10.90212369424437,11.46
11.88,28.060000000000002,10.930401581585711,11.48
11.9,28.060000000000002,10.944249644643758,11.5
11.92,28.04,10.943720729989787,11.52
12.02,28.04,11.013413161714597,11.56
12.040000000000001,28.02,11.01313278640006,11.58
12.14,28.02,11.083448959263066,11.58
12.16,28.0,11.083414126469531,11.6
12.26,28.0,11.154341175506286,11.6
12.280000000000001,27.98,11.154548887775757,11.620000000000001
12.38,27.98,11.22607414392322,11.620000000000001
12.4,27.96,11.226521405820401,11.64
12.5,27.96,11.298632398703706,11.64
12.52,27.94,11.299316219335214,11.66
12.620000000000001,27.94,11.372000679578642,11.66
12.64,27.92,11.372918074971897,11.68
12.74,27.92,11.446163936059639,11.68
12.76,27.900000000000002,11.447311931404524,11.700000000000001
12.86,27.900000000000002,11.521107331116518,11.700000000000001
12.88,27.88,11.522482962873127,11.72
12.96,27.88,11.581919712633699,11.72
12.98,27.86,11.583488640625482,11.74
13.08,27.86,11.65827516687192,11.74
13.1,27.84,11.660066334809274,11.76
13.200000000000001,27.84,11.735369792470275,11.76
13.22,27.82,11.73738027747339,11.78
13.24,27.82,11.752514143172187,11.78
13.26,27.8,11.754620520608615,11.8
13.280000000000001,27.8,11.769798683626611,11.8
13.3,27.78,11.772000657246123,11.82
13.32,27.78,11.787222817360812,11.82
13.34,27.76,11.789520088994479,11.84
13.36,27.76,11.804785946504756,11.84
13.38,27.740000000000002,11.807178216115304,11.86
13.4,27.740000000000002,11.82248747186922,11.86
13.42,27.72,11.824974437601085,11.88
13.44,27.72,11.840326793023134,11.88
13.46,27.7,11.842908151252301,11.9
13.48,27.7,11.858303308370209,11.9
13.5,27.68,11.860978753753717,11.92
13.52,27.68,11.876416415224762,11.92
13.540000000000001,27.66,11.879185640749961,11.94
13.56,27.66,11.894665509886797,11.94
13.58,27.64,11.897528206920283,11.96
13.6,27.64,11.913049987716287,11.96
13.620000000000001,27.62,11.916005846052526,11.98
13.66,27.62,11.947145419083716,11.98
13.68,27.6,11.95022267005741,12.0
13.700000000000001,27.6,11.965840044250935,12.0
13.72,27.580000000000002,11.969009661246126,12.02
13.74,27.580000000000002,11.984667940643384,12.02
13.76,27.560000000000002,11.987929609099336,12.040000000000001
13.780000000000001,27.560000000000002,12.003628501370073,12.040000000000001
13.8,27.54,12.006981905362803,12.06
13.82,27.54,12.022721118981945,12.06
13.84,27.52,12.026165941270863,12.08
13.86,27.52,12.041945185540724,12.08
13.88,27.5,12.045481107614924,12.1
13.9,27.5,12.06130009268696,12.1
13.92,27.48,12.064926794811111,12.120000000000001
13.94,27.48,12.080785231707178,12.120000000000001
13.96,27.46,12.08450239296705,12.14
13.98,27.46,12.100399993600204,12.14
14.0,27.44,12.104207291947779,12.16
14.02,27.44,12.12014376914259,12.16
14.040000000000001,27.42,12.124040881440783,12.18
14.06,27.42,12.140015948953176,12.18
14.08,27.400000000000002,12.144002551020149,12.200000000000001
14.120000000000001,27.400000000000002,12.176040712402294,12.200000000000001
14.14,27.38,12.180143083447025,12.22
14.16,27.38,12.196205777931702,12.22
14.200000000000001,27.34,12.204649935638832,12.26
14.22,27.34,12.220776521276337,12.26
14.24,27.32,12.225117821232402,12.280000000000001
14.26,27.32,12.241281580599335,12.280000000000001
14.280000000000001,27.3,12.24571073526514,12.3
14.3,27.3,12.261911388096191,12.3
14.32,27.28,12.266428067928228,12.32
14.34,27.28,12.28266533501535,12.32
14.36,27.26,12.287269209723581,12.34
14.38,27.26,12.303542812932147,12.34
14.42,27.22,12.312985487288186,12.38
14.44,27.22,12.329320484613465,12.38
14.46,27.2,12.334158786508045,12.4
14.5,27.2,12.366910354506292,12.4
14.52,27.18,12.37185969230793,12.42
14.540000000000001,27.18,12.388275880665072,12.42
14.58,27.14,12.39840615076737,12.46
14.6,27.14,12.414881973705414,12.46
14.620000000000001,27.12,12.420062402344227,12.48
14.64,27.12,12.436572751322684,12.48
14.66,27.1,12.441837874696908,12.5
14.68,27.1,12.45838247992336,12.5
14.700000000000001,27.080000000000002,12.463731962381678,12.52
14.72,27.080000000000002,12.480310555262244,12.52
14.74,27.060000000000002,12.485744060782832,12.540000000000001
14.76,27.060000000000002,12.50235637393418,12.540000000000001
14.780000000000001,27.04,12.50787356616108,12.56
14.8,27.04,12.524519333422036,12.56
14.82,27.02,12.530119875701075,12.58
14.84,27.02,12.546798832143798,12.58
14.86,27.0,12.552482387557994,12.6
14.88,27.0,12.56919426949878,12.6
14.9,26.98,12.57496050090327,12.620000000000001
14.92,26.98,12.59170504591295,12.620000000000001
14.96,26.94,12.603461077728499,12.66
14.98,26.94,12.620261134094047,12.66
15.0,26.92,12.626250419825347,12.68
15.02,26.92,12.643082457762812,12.68
15.06,26.88,12.655282455772454,12.72
15.08,26.88,12.672168909557433,12.72
15.1,26.86,12.67837910446092,12.74
15.120000000000001,26.86,12.695296865668988,12.74
15.14,26.84,12.70158769004734,12.76
15.16,26.84,12.718536503741566,12.76
15.18,26.82,12.724907618722503,12.780000000000001
15.200000000000001,26.82,12.741887231292162,12.780000000000001
15.24,26.78,12.754847015454038,12.82
