#x_m,y_m,w_tr_right_m,w_tr_left_m
5.08,34.94,4.66,14.695866984045667
5.04,34.9,4.64,14.653252140318385
5.04,34.86,4.64,14.613340734160403
5.0200000000000005,34.84,4.62,14.592064567630437
5.0200000000000005,34.800000000000004,4.62,14.55215034702367
5.0,34.78,4.6000000000000005,14.530894146031576
5.0,34.72,4.6000000000000005,14.4710187949582
4.98,34.7,4.58,14.449781143168407
4.98,34.660000000000004,4.58,14.409861579366634
4.96,34.64,4.5600000000000005,14.388644292158766
4.96,34.6,4.5600000000000005,14.348721978530888
4.94,34.58,4.54,14.327525250360294
4.94,34.54,4.54,14.287600212424083
4.92,34.52,4.5200000000000005,14.266424240420704
4.92,34.480000000000004,4.5200000000000005,14.226496504631587
4.9,34.46,4.5,14.205341488647228
4.9,34.42,4.5,14.165411082424004
4.88,34.4,4.48,14.144277225080662
4.88,34.36,4.48,14.104344176831987
4.86,34.34,4.46,14.083231683571178
4.86,34.32,4.46,14.06326380869823
4.84,34.300000000000004,4.44,14.042174351530312
4.84,34.26,4.44,14.002235937520256
4.82,34.24,4.42,13.981168241836267
4.82,34.2,4.42,13.941227283604427
4.8,34.18,4.4,13.920181563094793
4.8,34.160000000000004,4.4,13.900209788670935
4.78,34.14,4.38,13.87918765196396
4.78,34.1,4.38,13.839241552835603
4.76,34.08,4.36,13.818241804105035
4.76,34.02,4.36,13.758319109272822
4.74,34.0,4.34,13.73734062686473
4.74,33.96,4.34,13.697389829326562
4.72,33.94,4.32,13.676434207568336
4.72,33.9,4.32,13.636481040488746
4.7,33.88,4.3,13.61554850870989
4.7,33.84,4.3,13.575593010674002
4.68,33.82,4.28,13.554683801505501
4.68,33.78,4.28,13.514726012394208
4.66,33.76,4.26,13.493840361829411
4.66,33.72,4.26,13.453880322855397
4.64,33.7,4.24,13.433018470312254
4.64,33.660000000000004,4.24,13.393056224057089
4.62,33.64,4.22,13.372218412441766
4.62,33.62,4.22,13.352236181799672
4.6000000000000005,33.6,4.2,13.331423815467936
4.6000000000000005,33.56,4.2,13.291457190525778
4.58,33.54,4.18,13.270669332552814
4.58,33.5,4.18,13.230700642300087
4.5600000000000005,33.480000000000004,4.16,13.20993754577882
4.5600000000000005,33.46,4.16,13.189952170629596
4.54,33.44,4.14,13.169215157849035
4.54,33.38,4.14,13.109256086106296
4.5200000000000005,33.36,4.12,13.088543286804548
4.5200000000000005,33.32,4.12,13.048568697077023
4.5,33.3,4.1,13.027881441240089
4.5,33.26,4.1,12.987904989205743
4.48,33.24,4.08,12.96724354532377
4.48,33.2,4.08,12.927265285871668
4.46,33.18,4.0600000000000005,12.906629926468986
4.46,33.14,4.0600000000000005,12.866649916237332
4.44,33.12,4.04,12.846040917949786
4.44,33.08,4.04,12.806059215375342
4.42,33.06,4.0200000000000005,12.785476859029407
4.42,33.02,4.0200000000000005,12.74549352439839
4.4,33.0,4.0,12.724938095092106
4.4,32.96,4.0,12.684953190592621
4.38,32.94,3.98,12.664424977778395
4.38,32.9,3.98,12.624438567554458
4.36,32.88,3.96,12.60393786512378
4.36,32.84,3.96,12.563950015330974
4.34,32.82,3.94,12.543477121701107
4.34,32.8,3.94,12.523482502793122
4.32,32.78,3.92,12.503038401864888
4.32,32.74,3.92,12.463047850334695
4.3,32.72,3.9,12.442632128967956
4.3,32.68,3.9,12.402640352677256
4.28,32.660000000000004,3.88,12.382253322478006
4.28,32.62,3.88,12.342260396020794
4.26,32.6,3.86,12.321902373466008
4.26,32.56,3.86,12.281908373742494
4.24,32.54,3.84,12.261579680276867
4.24,32.480000000000004,3.84,12.201587201618691
4.22,32.46,3.8200000000000003,12.181287692442297
4.22,32.42,3.8200000000000003,12.141291799491789
4.2,32.4,3.8000000000000003,12.121022322478305
4.2,32.38,3.8000000000000003,12.101023958060395
4.18,32.36,3.7800000000000002,12.080785231707178
4.18,32.3,3.7800000000000002,12.020789024856674
4.16,32.28,3.7600000000000002,12.000580631567217
4.16,32.24,3.7600000000000002,11.960582510545366
4.14,32.22,3.74,11.94040517973377
4.14,32.2,3.74,11.920405837471426
4.12,32.18,3.72,11.90026015985028
4.12,32.14,3.72,11.860261008640885
4.1,32.12,3.7,11.840147057940113
4.1,32.08,3.7,11.800147540091473
4.08,32.06,3.68,11.780065681267898
4.08,32.04,3.68,11.760065789295714
4.0600000000000005,32.02,3.66,11.740016474453403
4.0600000000000005,31.98,3.66,11.70001652891433
4.04,31.96,3.64,11.68
4.04,31.900000000000002,3.64,11.620000000000001
4.0200000000000005,31.88,3.62,11.600016666655092
4.0200000000000005,31.84,3.62,11.560016722396336
4.0,31.82,3.6,11.540067001487053
4.0,31.78,3.6,11.500067226700864
3.98,31.76,3.58,11.480151514185332
3.98,31.7,3.58,11.420152283282986
3.96,31.68,3.56,11.400271183324561
3.96,31.66,3.56,11.380271643727067
3.94,31.64,3.54,11.360425162382525
3.94,31.6,3.54,11.320426613395949
3.92,31.580000000000002,3.52,11.30061536843255
3.92,31.52,3.52,11.240618540266665
3.9,31.5,3.5,11.220843342890394
3.9,31.48,3.5,11.200844796824065
3.88,31.46,3.48,11.18110530130868
3.88,31.42,3.48,11.141109132141503
3.86,31.400000000000002,3.46,11.121406164179787
3.86,31.36,3.46,11.08141106310544
3.84,31.34,3.44,11.061745067833257
3.84,31.32,3.44,11.041748118185437
3.8200000000000003,31.3,3.42,11.0221188927449
3.8200000000000003,31.26,3.42,10.982126339133652
3.8000000000000003,31.240000000000002,3.4,10.962534928439164
3.8000000000000003,31.2,3.4,10.922543883774528
3.7800000000000002,31.18,3.38,10.902990754663122
3.7800000000000002,31.12,3.38,10.843006715287508
3.7600000000000002,31.1,3.36,10.82349321735439
3.7600000000000002,31.060000000000002,3.36,10.783505711537861
3.74,31.04,3.34,10.764031529873069
3.74,31.0,3.34,10.724046026513914
3.72,30.98,3.3200000000000003,10.704611654623498
3.72,30.94,3.3200000000000003,10.664628326337944
3.7,30.92,3.3000000000000003,10.645234266415539
3.7,30.88,3.3000000000000003,10.60525329104242
3.68,30.86,3.2800000000000002,10.585900054160334
3.68,30.82,3.2800000000000002,10.54592161492124
3.66,30.8,3.2600000000000002,10.526609721226434
3.66,30.76,3.2600000000000002,10.486634006891203
3.64,30.740000000000002,3.24,10.46736398580631
3.64,30.7,3.24,10.42739119086403
3.62,30.68,3.22,10.408163581293541
3.62,30.64,3.22,10.36819390612929
3.6,30.62,3.2,10.349009256671055
3.6,30.6,3.2,10.329026050858484
