# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;4.240000;22.460000;-0.082060;-0.437763;2.000000;0.000000
0.199445;4.441091;22.434555;-0.169136;-0.421935;2.000000;0.000000
0.398889;4.639432;22.391962;-0.253571;-0.411146;2.000000;0.000000
0.598334;4.833418;22.333008;-0.336328;-0.405946;2.000000;0.000000
0.797779;5.021440;22.258483;-0.418429;-0.406708;2.000000;0.000000
0.997224;5.201892;22.169176;-0.500937;-0.413709;2.000000;0.000000
1.196668;5.373167;22.065875;-0.584945;-0.427158;2.000000;0.000000
1.396113;5.533658;21.949370;-0.671556;-0.447142;2.000000;0.000000
1.595558;5.681757;21.820448;-0.761867;-0.473504;2.000000;0.000000
1.795002;5.815859;21.679898;-0.856915;-0.505609;2.000000;0.000000
1.994447;5.934559;21.528222;-0.957676;-0.532665;2.000000;0.000000
2.193892;6.037862;21.364476;-1.056895;-0.489586;2.000000;0.000000
2.393336;6.125270;21.191599;-1.146737;-0.436627;2.000000;0.000000
2.592781;6.198197;21.010753;-1.226401;-0.380177;2.000000;0.000000
2.792226;6.258058;20.823099;-1.295788;-0.324768;2.000000;0.000000
2.991671;6.306267;20.629800;-1.355255;-0.272968;2.000000;0.000000
3.191115;6.344239;20.432016;-1.405395;-0.225780;2.000000;0.000000
3.390560;6.373388;20.230912;-1.446870;-0.183166;2.000000;0.000000
3.590005;6.395129;20.027647;-1.480298;-0.144472;2.000000;0.000000
3.789449;6.410876;19.823384;-1.506192;-0.108693;2.000000;0.000000
3.988894;6.421993;19.620172;-1.525219;-0.084059;2.000000;0.000000
4.188339;6.429530;19.419085;-1.541099;-0.073673;2.000000;0.000000
4.387783;6.434074;19.218690;-1.554788;-0.062847;2.000000;0.000000
4.587228;6.436092;19.018878;-1.566236;-0.051670;2.000000;0.000000
4.786673;6.436050;18.819541;4.707786;-0.040224;2.000000;0.000000
4.986118;6.434415;18.620568;4.700938;-0.028578;2.000000;0.000000
5.185562;6.431652;18.421851;4.696428;-0.016797;2.000000;0.000000
5.385007;6.428229;18.223281;4.694268;-0.004941;2.000000;0.000000
5.584452;6.424612;18.024749;4.694466;0.006935;2.000000;0.000000
5.783896;6.421266;17.826145;4.697021;0.018778;2.000000;0.000000
5.983341;6.418643;17.627351;4.701466;0.022241;2.000000;0.000000
6.182786;6.416889;17.428336;4.705578;0.019089;2.000000;0.000000
6.382230;6.415890;17.229137;4.709069;0.015962;2.000000;0.000000
6.581675;6.415525;17.029785;4.711941;0.012855;2.000000;0.000000
6.781120;6.415671;16.830308;-1.568989;0.009765;2.000000;0.000000
6.980565;6.416205;16.630737;-1.567347;0.006688;2.000000;0.000000
7.180009;6.417007;16.431102;-1.566318;0.003620;2.000000;0.000000
7.379454;6.417953;16.231430;-1.565901;0.000557;2.000000;0.000000
7.578899;6.418921;16.031753;-1.566096;-0.002505;2.000000;0.000000
