# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;5.080000;34.940000;-2.422422;1.611728;1.364315;-0.004152
0.199802;4.960642;34.835490;-2.314878;1.298152;1.363707;0.581681
0.399603;4.860986;34.702097;-2.129931;0.922759;1.446423;1.064792
0.599405;4.778227;34.543973;-1.993288;0.620042;1.586705;1.433345
0.799206;4.709561;34.365271;-1.895993;0.406683;1.757954;1.736292
0.999008;4.652184;34.170144;-1.828910;0.259588;1.945310;2.009217
1.198810;4.603293;33.962745;-1.785224;0.154192;2.141756;2.282468
1.398611;4.560084;33.747228;-1.760536;0.072292;2.345037;2.590186
1.598413;4.519752;33.527745;-1.752442;0.000782;2.556217;2.980312
1.798214;4.479493;33.308449;-1.760201;-0.070996;2.779423;0.994263
1.998016;4.436505;33.093494;-1.783442;-0.153837;2.850000;0.000000
2.197817;4.387525;32.882492;-1.814972;-0.153265;2.850000;0.000000
2.397619;4.333292;32.679229;-1.846089;-0.142291;2.850000;0.000000
2.597421;4.274620;32.482777;-1.873686;-0.126449;2.850000;0.000000
2.797222;4.212271;32.291969;-1.897069;-0.106078;2.850000;0.000000
2.997024;4.147008;32.105636;-1.915652;-0.081800;2.850000;0.000000
3.196825;4.079594;31.922612;-1.928968;-0.054455;2.850000;0.000000
3.396627;4.010792;31.741729;-1.936677;-0.025051;2.850000;0.000000
3.596429;3.941363;31.561820;-1.938585;0.005310;2.850000;0.000000
3.796230;3.872072;31.381718;-1.934641;0.035478;2.850000;0.000000
3.996032;3.803673;31.200238;-1.925690;0.061299;2.850000;0.000000
4.195833;3.736669;31.016341;-1.914979;0.052969;2.850000;0.000000
4.395635;3.671082;30.830334;-1.905306;0.045167;2.850000;0.000000
4.595437;3.606739;30.642520;-1.897075;0.037806;2.850000;0.000000
4.795238;3.543470;30.453200;-1.890230;0.030806;2.850000;0.000000
4.995040;3.481102;30.262678;-1.884730;0.024092;2.850000;0.000000
5.194841;3.419463;30.071254;-1.880541;0.017592;2.850000;0.000000
5.394643;3.358382;29.879232;-1.877637;0.011237;2.850000;0.000000
5.594444;3.297686;29.686914;-1.876004;0.004961;2.850000;0.000000
5.794246;3.237204;29.494602;-1.875634;-0.001303;2.850000;0.000000
5.994048;3.176763;29.302598;-1.876295;-0.005858;2.850000;0.000000
6.193849;3.116254;29.111086;-1.877292;-0.004640;2.850000;0.000000
6.393651;3.055690;28.920021;-1.878098;-0.003403;2.850000;0.000000
6.593452;2.995101;28.729328;-1.878654;-0.002152;2.850000;0.000000
6.793254;2.934516;28.538931;-1.878958;-0.000889;2.850000;0.000000
6.993056;2.873964;28.348755;-1.879009;0.000382;2.850000;0.000000
7.192857;2.813473;28.158723;-1.878806;0.001658;2.850000;0.000000
7.392659;2.753075;27.968761;-1.878348;0.002934;2.850000;0.000000
7.592460;2.692796;27.778793;-1.877636;0.004208;2.850000;0.000000
7.792262;2.632667;27.588743;-1.876670;0.005476;2.850000;0.000000
7.992063;2.572717;27.398537;-1.875441;0.006841;2.850000;0.000000
8.191865;2.512991;27.208131;-1.873921;0.008376;2.850000;0.000000
8.391667;2.453550;27.017523;-1.872096;0.009909;2.850000;0.000000
8.591468;2.394460;26.826712;-1.869963;0.011443;2.850000;0.000000
8.791270;2.335787;26.635700;-1.867523;0.012979;2.850000;0.000000
8.991071;2.277594;26.444487;-1.864775;0.014518;2.850000;0.000000
9.190873;2.219947;26.253075;-1.861719;0.016060;2.850000;0.000000
9.390675;2.162910;26.061463;-1.858354;0.017608;2.850000;0.000000
9.590476;2.106548;25.869653;-1.854678;0.019161;2.850000;0.000000
9.790278;2.050926;25.677645;-1.850695;0.020722;2.850000;0.000000
9.990079;1.996111;25.485450;-1.846475;0.021567;2.850000;0.000000
10.189881;1.942135;25.293065;-1.842146;0.021782;2.850000;0.000000
10.389683;1.889005;25.100471;-1.837773;0.021994;2.850000;0.000000
10.589484;1.836726;24.907663;-1.833359;0.022202;2.850000;0.000000
10.789286;1.785304;24.714632;-1.828903;0.022407;2.850000;0.000000
10.989087;1.734746;24.521371;-1.824407;0.022608;2.850000;0.000000
11.188889;1.685059;24.327873;-1.819871;0.022805;2.850000;0.000000
11.388690;1.636250;24.134131;-1.815295;0.022997;2.850000;0.000000
11.588492;1.588323;23.940137;-1.810681;0.023186;2.850000;0.000000
11.788294;1.541287;23.745885;-1.806001;0.023371;2.850000;0.000000
11.988095;1.495164;23.551389;-1.800931;0.027054;2.850000;0.000000
12.187897;1.450089;23.356625;-1.794989;0.032362;2.850000;0.000000
12.387698;1.406274;23.161569;-1.787987;0.037687;2.850000;0.000000
12.587500;1.363934;22.966204;-1.779920;0.043032;2.850000;0.000000
12.787302;1.323283;22.770517;-1.770783;0.048398;2.850000;0.000000
12.987103;1.284536;22.574493;-1.760574;0.053784;2.850000;0.000000
13.186905;1.247907;22.378117;-1.749290;0.059186;2.850000;0.000000
13.386706;1.213612;22.181375;-1.736930;0.064599;2.850000;0.000000
13.586508;1.181864;21.984251;-1.723491;0.070013;2.850000;0.000000
13.786310;1.152879;21.786731;-1.709063;0.075415;2.850000;0.000000
13.986111;1.126834;21.588786;-1.694335;0.073021;2.850000;0.000000
14.185913;1.103674;21.390459;-1.680151;0.069052;2.850000;0.000000
14.385714;1.083247;21.191797;-1.666757;0.065083;2.850000;0.000000
14.585516;1.065401;20.992843;-1.654152;0.061122;2.850000;0.000000
14.785317;1.049982;20.793641;-1.642334;0.057175;2.850000;0.000000
14.985119;1.036836;20.594233;-1.631301;0.053246;2.850000;0.000000
15.184921;1.025812;20.394662;-1.621049;0.049337;2.850000;0.000000
15.384722;1.016756;20.194970;-1.611575;0.045451;2.850000;0.000000
15.584524;1.009514;19.995202;-1.602875;0.041588;2.850000;0.000000
15.784325;1.003933;19.795398;-1.594960;0.037745;2.850000;0.000000
15.984127;0.999856;19.595585;-1.587894;0.033090;2.850000;0.000000
16.183929;0.997100;19.395780;-1.581750;0.028408;2.850000;0.000000
16.383730;0.995479;19.195981;-1.576542;0.023720;2.850000;0.000000
16.583532;0.994804;18.996187;-1.572272;0.019027;2.850000;0.000000
16.783333;0.994889;18.796398;-1.568939;0.014332;2.850000;0.000000
16.983135;0.995546;18.596611;-1.566545;0.009637;2.850000;0.000000
17.182937;0.996588;18.396826;-1.565089;0.004941;2.850000;0.000000
17.382738;0.997827;18.197041;-1.564571;0.000245;2.850000;0.000000
17.582540;0.999075;17.997255;-1.564991;-0.004450;2.850000;0.000000
17.782341;1.000146;17.797466;-1.566209;-0.008384;2.850000;0.000000
17.982143;1.000908;17.597675;-1.567712;-0.007287;2.850000;0.000000
18.181944;1.001379;17.397881;-1.569058;-0.006189;2.850000;0.000000
18.381746;1.001603;17.198083;-1.570185;-0.005092;2.850000;0.000000
18.581548;1.001623;16.998284;-1.571093;-0.003995;2.850000;0.000000
18.781349;1.001484;16.798482;-1.571781;-0.002898;2.850000;0.000000
18.981151;1.001230;16.598678;-1.572251;-0.001801;2.850000;0.000000
19.180952;1.000903;16.398872;-1.572501;-0.000704;2.850000;0.000000
19.380754;1.000549;16.199066;-1.572532;0.000393;2.850000;0.000000
19.580556;1.000210;15.999258;-1.572345;0.001489;2.850000;0.000000
19.780357;0.999930;15.799450;-1.571985;0.002197;2.850000;0.000000
19.980159;0.999734;15.599642;-1.571584;0.001910;2.850000;0.000000
20.179960;0.999615;15.399834;-1.571231;0.001623;2.850000;0.000000
20.379762;0.999561;15.200027;-1.570935;0.001336;2.850000;0.000000
20.579564;0.999560;15.000221;-1.570697;0.001049;2.850000;0.000000
20.779365;0.999600;14.800417;-1.570516;0.000762;2.850000;0.000000
20.979167;0.999672;14.600616;-1.570393;0.000474;2.850000;0.000000
21.178968;0.999762;14.400817;-1.570327;0.000187;2.850000;0.000000
21.378770;0.999859;14.201022;-1.570318;-0.000100;2.850000;0.000000
21.578571;0.999953;14.001231;-1.570366;-0.000387;2.850000;0.000000
21.778373;1.000031;13.801444;-1.570456;-0.000530;2.850000;0.000000
21.978175;1.000089;13.601660;-1.570556;-0.000482;2.850000;0.000000
22.177976;1.000127;13.401878;-1.570648;-0.000433;2.850000;0.000000
22.377778;1.000148;13.202095;-1.570729;-0.000385;2.850000;0.000000
22.577579;1.000154;13.002309;-1.570801;-0.000337;2.850000;0.000000
22.777381;1.000146;12.802517;-1.570864;-0.000289;2.850000;0.000000
22.977183;1.000127;12.602716;-1.570917;-0.000241;2.850000;0.000000
23.176984;1.000098;12.402906;-1.570960;-0.000193;2.850000;0.000000
23.376786;1.000061;12.203082;-1.570994;-0.000145;2.850000;0.000000
23.576587;1.000019;12.003243;-1.571018;-0.000096;2.850000;0.000000
23.776389;0.999973;11.803387;-1.571029;-0.000021;2.850000;0.000000
23.976190;0.999926;11.603518;-1.571024;0.000073;2.850000;0.000000
24.175992;0.999882;11.403644;-1.571000;0.000168;2.850000;0.000000
24.375794;0.999844;11.203775;-1.570957;0.000262;2.850000;0.000000
24.575595;0.999817;11.003919;-1.570895;0.000357;2.850000;0.000000
24.775397;0.999805;10.804086;-1.570815;0.000452;2.850000;0.000000
24.975198;0.999810;10.604284;-1.570715;0.000547;2.850000;0.000000
25.175000;0.999837;10.404522;-1.570596;0.000642;2.850000;0.000000
25.374802;0.999890;10.204810;-1.570458;0.000737;2.850000;0.000000
25.574603;0.999972;10.005156;-1.570305;0.000833;2.850000;0.000000
25.774405;1.000086;9.805566;-1.570171;0.000546;2.850000;0.000000
25.974206;1.000222;9.606021;-1.570105;0.000118;2.850000;0.000000
26.174008;1.000362;9.406488;-1.570124;-0.000310;2.850000;0.000000
26.373810;1.000490;9.206933;-1.570229;-0.000738;2.850000;0.000000
26.573611;1.000589;9.007323;-1.570419;-0.001165;2.850000;0.000000
26.773413;1.000641;8.807625;-1.570694;-0.001590;2.850000;0.000000
26.973214;1.000630;8.607805;-1.571054;-0.002013;2.850000;0.000000
27.173016;1.000538;8.407829;-1.571499;-0.002433;2.850000;0.000000
27.372817;1.000349;8.207665;-1.572027;-0.002849;2.850000;0.000000
27.572619;1.000045;8.007278;-1.572616;-0.003261;2.850000;0.000000
27.772421;0.999619;7.806654;-1.573111;-0.001901;2.850000;0.000000
27.972222;0.999116;7.605881;-1.573333;-0.000310;2.850000;0.000000
28.172024;0.998600;7.405083;-1.573235;0.001280;2.850000;0.000000
28.371825;0.998137;7.204384;-1.572818;0.002877;2.850000;0.000000
28.571627;0.997789;7.003910;-1.572080;0.004489;2.850000;0.000000
28.771429;0.997622;6.803784;-1.571018;0.006127;2.850000;0.000000
28.971230;0.997700;6.604132;-1.569628;0.007800;2.850000;0.000000
29.171032;0.998088;6.405079;-1.567905;0.009518;2.850000;0.000000
29.370833;0.998849;6.206749;-1.565843;0.011290;2.850000;0.000000
29.570635;1.000049;6.009267;-1.563562;0.012913;2.850000;0.000000
29.770437;1.001700;5.812654;-1.561665;0.007461;2.850000;0.000000
29.970238;1.003635;5.616530;-1.560749;0.001870;2.850000;0.000000
30.170040;1.005641;5.420431;-1.560933;-0.003741;2.850000;0.000000
30.369841;1.007508;5.223891;-1.562212;-0.009255;2.850000;0.000000
30.569643;1.009024;5.026445;-1.564566;-0.014558;2.850000;0.000000
30.769444;1.009977;4.827628;-1.567960;-0.019545;2.850000;0.000000
30.969246;1.010157;4.626974;-1.572346;-0.024125;2.850000;0.000000
31.169048;1.009352;4.424019;-1.577663;-0.028225;2.850000;0.000000
