# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-20.599999;53.600002;-0.107613;-0.086138;2.850000;0.000000
0.199982;-20.398760;53.578262;-0.116406;-0.087288;2.850000;0.000000
0.399964;-20.198826;53.553091;-0.134095;-0.088253;2.850000;0.000000
0.599946;-20.000128;53.524484;-0.151892;-0.089022;2.850000;0.000000
0.799928;-19.802593;53.492439;-0.169766;-0.089589;2.850000;0.000000
0.999910;-19.606150;53.456950;-0.187688;-0.089947;2.850000;0.000000
1.199892;-19.410730;53.418015;-0.205628;-0.090093;2.850000;0.000000
1.399874;-19.216260;53.375629;-0.223556;-0.090024;2.850000;0.000000
1.599856;-19.022670;53.329787;-0.241440;-0.089742;2.850000;0.000000
1.799838;-18.829889;53.280487;-0.259251;-0.089248;2.850000;0.000000
1.999820;-18.637843;53.227723;-0.277021;-0.088605;2.850000;0.000000
2.199802;-18.446354;53.171436;-0.294986;-0.090995;2.850000;0.000000
2.399784;-18.255699;53.111609;-0.313421;-0.093526;2.850000;0.000000
2.599766;-18.066038;53.048174;-0.332392;-0.096197;2.850000;0.000000
2.799748;-17.877533;52.981066;-0.351922;-0.099006;2.850000;0.000000
2.999730;-17.690346;52.910217;-0.372032;-0.101948;2.850000;0.000000
3.199711;-17.504638;52.835561;-0.392745;-0.105019;2.850000;0.000000
3.399693;-17.320571;52.757031;-0.414082;-0.108213;2.850000;0.000000
3.599675;-17.138305;52.674560;-0.436062;-0.111521;2.850000;0.000000
3.799657;-16.958002;52.588082;-0.458705;-0.114933;2.850000;0.000000
3.999639;-16.779823;52.497529;-0.481823;-0.117955;2.850000;0.000000
4.199621;-16.603864;52.402892;-0.504502;-0.110612;2.850000;0.000000
4.399603;-16.430063;52.304405;-0.525857;-0.103172;2.850000;0.000000
4.599585;-16.258306;52.202342;-0.545724;-0.095685;2.850000;0.000000
4.799567;-16.088476;52.096980;-0.564099;-0.088190;2.850000;0.000000
