# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-21.899999;53.600002;-2.927831;0.298720;2.850000;0.000000
0.199993;-22.096693;53.557304;-2.897831;0.297421;2.850000;0.000000
0.399986;-22.290738;53.502822;-2.837726;0.298880;2.850000;0.000000
0.599980;-22.481140;53.436750;-2.777056;0.303044;2.850000;0.000000
0.799973;-22.666907;53.359279;-2.715359;0.309846;2.850000;-0.033913
0.999966;-22.847046;53.270603;-2.652189;0.319193;2.847619;-0.385204
1.199959;-23.020564;53.170914;-2.587113;0.330935;2.820436;-0.318294
1.399952;-23.186467;53.060404;-2.519727;0.344829;2.797775;-0.228374
1.599946;-23.343763;52.939267;-2.449669;0.360498;2.781402;-0.115057
1.799939;-23.491459;52.807696;-2.376654;0.377377;2.773117;-0.017140
1.999932;-23.628503;52.665947;-2.301521;0.390456;2.771881;-0.017140
2.199925;-23.753827;52.514947;-2.227774;0.363790;2.770644;0.190254
2.399918;-23.868319;52.355012;-2.158976;0.335152;2.784343;0.384415
2.599912;-23.972480;52.187094;-2.095573;0.306227;2.811819;0.540452
2.799905;-24.066814;52.012141;-2.037473;0.278227;2.850000;0.000000
2.999898;-24.151824;51.831106;-1.984454;0.251924;2.850000;0.000000
3.199891;-24.228012;51.644937;-1.936214;0.227735;2.850000;0.000000
3.399884;-24.295881;51.454586;-1.892414;0.205812;2.850000;0.000000
3.599878;-24.355934;51.261002;-1.852703;0.186134;2.850000;0.000000
3.799871;-24.408673;51.065137;-1.816748;0.168567;2.850000;0.000000
3.999864;-24.454576;50.868058;-1.784265;0.152911;2.850000;0.000000
4.199857;-24.494110;50.671002;-1.755024;0.137430;2.850000;0.000000
4.399850;-24.528101;50.473484;-1.729097;0.121212;2.850000;0.000000
4.599844;-24.557237;50.275558;-1.706513;0.104496;2.850000;0.000000
4.799837;-24.582206;50.077279;-1.687328;0.087468;2.850000;0.000000
4.999830;-24.603694;49.878702;-1.671574;0.070268;2.850000;0.000000
5.199823;-24.622390;49.679883;-1.659266;0.052986;2.850000;0.000000
5.399816;-24.638982;49.480876;-1.650413;0.035679;2.850000;0.000000
5.599810;-24.654157;49.281736;-1.645016;0.018375;2.850000;0.000000
5.799803;-24.668602;49.082518;-1.643071;0.001081;2.850000;0.000000
5.999796;-24.683007;48.883255;-1.644066;-0.012839;2.850000;0.000000
6.199789;-24.697861;48.683908;-1.646268;-0.010979;2.850000;0.000000
6.399782;-24.713153;48.484575;-1.648277;-0.009119;2.850000;0.000000
6.599776;-24.728811;48.285250;-1.649914;-0.007259;2.850000;0.000000
6.799769;-24.744759;48.085927;-1.651180;-0.005401;2.850000;0.000000
6.999762;-24.760925;47.886598;-1.652074;-0.003544;2.850000;0.000000
7.199755;-24.777234;47.687258;-1.652597;-0.001687;2.850000;0.000000
7.399748;-24.793612;47.487900;-1.652749;0.000168;2.850000;0.000000
7.599742;-24.809985;47.288517;-1.652530;0.002022;2.850000;0.000000
7.799735;-24.826280;47.089102;-1.651943;0.003875;2.850000;0.000000
7.999728;-24.842427;46.889595;-1.651626;0.001233;2.850000;0.000000
8.199721;-24.858620;46.689867;-1.653629;-0.019316;2.850000;0.000000
8.399714;-24.875581;46.490267;-1.659561;-0.039924;2.850000;0.000000
8.599708;-24.894125;46.290935;-1.669626;-0.060645;2.850000;0.000000
8.799701;-24.915068;46.092015;-1.683841;-0.081499;2.850000;0.000000
8.999694;-24.939228;45.893649;-1.702222;-0.102464;2.850000;0.000000
9.199687;-24.967420;45.695978;-1.724778;-0.123449;2.850000;0.000000
9.399680;-25.000459;45.499144;-1.751501;-0.144286;2.850000;0.000000
9.599674;-25.039163;45.303291;-1.782356;-0.164712;2.850000;0.000000
9.799667;-25.084347;45.108559;-1.817291;-0.184356;2.850000;0.000000
9.999660;-25.136914;44.914788;-1.856001;-0.200918;2.850000;0.000000
10.199653;-25.197762;44.721737;-1.897680;-0.212541;2.850000;0.000000
10.399646;-25.266928;44.531320;-1.942156;-0.226597;2.850000;0.000000
10.599640;-25.344652;44.344544;-1.989666;-0.243129;2.850000;0.000000
10.799633;-25.431172;44.162412;-2.040605;-0.262130;2.850000;0.000000
10.999626;-25.526729;43.985929;-2.095361;-0.283496;2.850000;-0.225846
11.199619;-25.631562;43.816100;-2.154296;-0.306955;2.834107;-0.404714
11.399612;-25.745909;43.653930;-2.217717;-0.331988;2.805403;-0.235445
11.599606;-25.870010;43.500424;-2.285840;-0.357750;2.788568;-0.046113
11.799599;-26.004104;43.356586;-2.358587;-0.383001;2.785259;-0.017290
11.999592;-26.147937;43.223823;-2.433648;-0.387059;2.784017;-0.017290
12.199585;-26.300686;43.102723;-2.505696;-0.351546;2.782774;0.260415
12.399578;-26.462254;42.991799;-2.571041;-0.314894;2.801427;0.511206
12.599572;-26.631615;42.890350;-2.629674;-0.278958;2.837688;0.175078
12.799565;-26.807745;42.797674;-2.681799;-0.244888;2.850000;0.000000
12.999558;-26.989620;42.713069;-2.727736;-0.213252;2.850000;0.000000
13.199551;-27.176215;42.635834;-2.767852;-0.184195;2.850000;0.000000
13.399544;-27.366505;42.565265;-2.802519;-0.157575;2.850000;0.000000
13.599538;-27.559467;42.500662;-2.832078;-0.133071;2.850000;0.000000
13.799531;-27.754075;42.441323;-2.856834;-0.110244;2.850000;0.000000
13.999524;-27.949389;42.386527;-2.877465;-0.092550;2.850000;0.000000
14.199517;-28.144851;42.335639;-2.895147;-0.082025;2.850000;0.000000
14.399510;-28.340288;42.288193;-2.910538;-0.070979;2.850000;0.000000
