#x_m,y_m,w_tr_right_m,w_tr_left_m
4.24,22.46,1.3031219541881398,1.2926079241294763
4.26,22.44,1.2845504094221807,1.3100931650062986
4.4,22.44,1.3012495120998477,1.2924823389915505
4.42,22.42,1.2849290204927162,1.30822883943797
4.5200000000000005,22.42,1.304618334682737,1.2911002482559042
4.54,22.400000000000002,1.288584275384847,1.305615146914104
4.62,22.400000000000002,1.305615146914104,1.2861904047118682
4.64,22.38,1.2911002482559042,1.3009996876951602
4.7,22.38,1.305615146914104,1.2861904047118682
4.72,22.36,1.2911002482559042,1.3001249951175688
4.76,22.36,1.301624175641714,1.2875767697972906
4.78,22.34,1.2880806024884255,1.3001249951175688
4.82,22.34,1.3001249951175688,1.2861904047118682
4.84,22.32,1.2875767697972906,1.2969971822141704
4.86,22.32,1.2942396306703707,1.2895911424010893
4.88,22.3,1.2824032355881985,1.3011246047700349
4.92,22.3,1.2969971822141704,1.2861904047118682
4.94,22.28,1.2861904047118682,1.2969971822141704
4.96,22.28,1.294114174079134,1.2895911424010893
4.98,22.26,1.2840454538932904,1.3011246047700349
5.0,22.26,1.2924823389915505,1.2924823389915505
5.0200000000000005,22.240000000000002,1.283161394173064,1.3022484201895785
5.04,22.240000000000002,1.2921055241409096,1.294114174079134
5.0600000000000005,22.22,1.283161394173064,1.304618334682737
5.08,22.22,1.2921055241409096,1.2969971822141704
5.1000000000000005,22.2,1.283161394173064,1.30822883943797
5.12,22.2,1.2921055241409096,1.3011246047700349
5.14,22.18,1.283161394173064,1.3090991268408545
5.18,22.18,1.3011246047700349,1.2880806024884255
5.22,22.14,1.2835403373454053,1.3026228502052501
5.24,22.14,1.2929846201391901,1.2929846201391901
5.26,22.12,1.2851813776347487,1.3012495120998477
5.28,22.12,1.2951175505272332,1.2921055241409096
5.3,22.1,1.2880806024884255,1.2976232346833216
5.32,22.1,1.2984992962150468,1.2864425612041552
5.36,22.06,1.2864425612041552,1.2976232346833216
5.38,22.06,1.2976232346833216,1.2864425612041552
5.42,22.02,1.2864425612041552,1.2962455951387932
5.44,22.02,1.2976232346833216,1.2840454538932904
5.5,21.96,1.2840454538932904,1.2962455951387932
5.5200000000000005,21.96,1.2962455951387932,1.2840454538932904
5.64,21.84,1.2841717078650283,1.3011246047700349
5.66,21.84,1.2981239000778382,1.2879546593023365
5.8,21.7,1.2980613254815976,1.2879546593023365
5.8,21.68,1.2839191898578666,1.3011246047700349
5.94,21.54,1.2962455951387932,1.2840454538932904
5.94,21.52,1.2840454538932904,1.2962455951387932
6.0,21.46,1.2976232346833216,1.2840454538932904
6.0,21.44,1.2864425612041552,1.2962455951387932
6.04,21.400000000000002,1.2976232346833216,1.2864425612041552
6.04,21.38,1.2864425612041552,1.2976232346833216
6.08,21.34,1.2984992962150468,1.2864425612041552
6.08,21.32,1.2880806024884255,1.2976232346833216
6.1000000000000005,21.3,1.2951175505272332,1.2921055241409096
6.1000000000000005,21.28,1.2851813776347487,1.3012495120998477
6.12,21.26,1.2929846201391901,1.2929846201391901
6.12,21.240000000000002,1.2835403373454053,1.3026228502052501
6.16,21.2,1.3011246047700349,1.2880806024884255
6.16,21.16,1.283161394173064,1.3090991268408545
6.18,21.14,1.2921055241409096,1.3011246047700349
6.18,21.12,1.283161394173064,1.30822883943797
6.2,21.1,1.2921055241409096,1.2969971822141704
6.2,21.080000000000002,1.283161394173064,1.304618334682737
6.22,21.06,1.2921055241409096,1.294114174079134
6.22,21.04,1.283161394173064,1.3022484201895785
6.24,21.02,1.2924823389915505,1.2924823389915505
6.24,21.0,1.2840454538932904,1.3011246047700349
6.26,20.98,1.294114174079134,1.2921055241409096
6.26,20.94,1.2784802817900514,1.30822883943797
6.28,20.92,1.2895911424010893,1.2969971822141704
6.28,20.88,1.2754364474646382,1.3124515496597098
6.3,20.86,1.2875767697972906,1.3001249951175688
6.3,20.82,1.2749285698088024,1.313071604114337
6.32,20.8,1.2875767697972906,1.3001249951175688
6.32,20.76,1.2749285698088024,1.313071604114337
6.34,20.740000000000002,1.2880806024884255,1.3001249951175688
6.34,20.7,1.2769590990257167,1.3104657711357917
6.36,20.68,1.2911002482559042,1.2962455951387932
6.36,20.62,1.2770859202973057,1.3120794025109308
6.38,20.6,1.2924823389915505,1.2966214329013626
6.38,20.52,1.2770859202973057,1.3150541786577936
6.4,20.5,1.2924823389915505,1.2981239000778382
6.4,20.44,1.2815182578775373,1.3079800993793425
6.42,20.42,1.2981239000778382,1.2902201105507376
6.42,3.68,1.2981239000778382,1.2924823389915505
6.4,3.66,1.2815182578775373,1.30822883943797
6.4,3.6,1.2924823389915505,1.2981239000778382
6.38,3.58,1.2770859202973057,1.3150541786577936
6.38,3.5,1.2924823389915505,1.2966214329013626
6.36,3.48,1.2770859202973057,1.3120794025109308
6.36,3.42,1.2911002482559042,1.2962455951387932
6.34,3.4,1.2769590990257167,1.3104657711357917
6.34,3.36,1.2880806024884255,1.3001249951175688
