# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;20.850001;58.100002;0.057066;-0.091130;2.850000;0.000000
0.199930;21.050461;58.111454;0.046512;-0.105058;2.850000;0.000000
0.399860;21.251183;58.118675;0.023969;-0.119432;2.850000;0.000000
0.599790;21.451903;58.121078;-0.001496;-0.134303;2.850000;0.000000
0.799720;21.652357;58.118075;-0.029961;-0.149683;2.850000;0.000000
0.999650;21.852278;58.109079;-0.061502;-0.165529;2.850000;0.000000
1.199580;22.051404;58.093502;-0.096186;-0.181737;2.850000;0.000000
1.399510;22.249469;58.070756;-0.134060;-0.198125;2.850000;0.000000
1.599440;22.446208;58.040255;-0.175141;-0.214427;2.850000;0.000000
1.799370;22.641357;58.001410;-0.219404;-0.230280;2.850000;0.000000
1.999300;22.834652;57.953634;-0.267180;-0.245229;2.850000;0.000000
2.199230;23.029678;57.895117;-0.317452;-0.254684;2.850000;0.000000
2.399160;23.221340;57.826583;-0.370589;-0.267467;2.850000;-0.732262
2.599090;23.408473;57.747940;-0.426516;-0.283580;2.798160;-0.733414
2.799020;23.589918;57.659097;-0.485771;-0.302981;2.745257;-0.647291
2.998950;23.764515;57.559961;-0.548876;-0.325511;2.697704;-0.538261
3.198880;23.931103;57.450441;-0.616317;-0.350802;2.657514;-0.406131
3.398810;24.088524;57.330445;-0.688506;-0.378155;2.626782;-0.251762
3.598740;24.235616;57.199880;-0.765732;-0.406424;2.607550;-0.078308
3.798670;24.371220;57.058655;-0.847928;-0.433923;2.601539;-0.015085
3.998600;24.493738;56.907276;-0.932456;-0.443658;2.600379;-0.015085
4.198530;24.601728;56.747984;-1.012904;-0.390638;2.599219;0.345804
4.398460;24.698162;56.579683;-1.083383;-0.335622;2.625683;0.670768
4.598389;24.784302;56.403549;-1.143940;-0.282122;2.676271;0.963347
4.798319;24.861408;56.220760;-1.194911;-0.232012;2.747295;1.232020
4.998249;24.930739;56.032495;-1.236800;-0.185924;2.835536;0.205659
5.198179;24.993555;55.839929;-1.270146;-0.143664;2.850000;0.000000
5.398109;25.051117;55.644240;-1.295435;-0.104552;2.850000;0.000000
5.598039;25.104684;55.446607;-1.313048;-0.067632;2.850000;0.000000
5.797969;25.155516;55.248205;-1.323235;-0.031787;2.850000;0.000000
5.997899;25.204891;55.050132;-1.327307;-0.004817;2.850000;0.000000
6.197829;25.253703;54.852957;-1.329013;-0.008861;2.850000;0.000000
6.397759;25.301875;54.656861;-1.331219;-0.012996;2.850000;0.000000
6.597689;25.349289;54.461640;-1.334250;-0.017192;2.850000;0.000000
6.797619;25.395832;54.267093;-1.338111;-0.021418;2.850000;0.000000
