# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;20.500001;58.100002;-3.029280;0.164529;2.850000;0.000000
0.199986;20.302511;58.077727;-3.013822;0.155281;2.850000;0.000000
0.399971;20.105464;58.049315;-2.983815;0.146138;2.850000;0.000000
0.599957;19.908970;58.015115;-2.955560;0.137177;2.850000;0.000000
0.799942;19.713137;57.975476;-2.929023;0.128454;2.850000;0.000000
0.999928;19.518071;57.930747;-2.904161;0.120004;2.850000;0.000000
1.199913;19.323882;57.881278;-2.880931;0.111848;2.850000;0.000000
1.399899;19.130678;57.827418;-2.859287;0.103993;2.850000;0.000000
1.599884;18.938565;57.769516;-2.839180;0.096432;2.850000;0.000000
1.799870;18.747653;57.707921;-2.820566;0.089153;2.850000;0.000000
1.999855;18.558039;57.642980;-2.803371;0.082155;2.850000;0.000000
2.199841;18.369425;57.574884;-2.787510;0.076047;2.850000;0.000000
2.399826;18.182111;57.504013;-2.772903;0.069805;2.850000;0.000000
2.599812;17.995982;57.430602;-2.759570;0.063458;2.850000;0.000000
2.799797;17.810923;57.354885;-2.747523;0.057035;2.850000;0.000000
2.999783;17.626818;57.277096;-2.736770;0.050556;2.850000;0.000000
3.199768;17.443552;57.197470;-2.727319;0.044039;2.850000;0.000000
3.399754;17.261009;57.116242;-2.719173;0.037500;2.850000;0.000000
3.599739;17.079073;57.033645;-2.712335;0.030948;2.850000;0.000000
3.799725;16.897629;56.949914;-2.706805;0.024391;2.850000;0.000000
3.999710;16.716561;56.865284;-2.702511;0.018093;2.850000;0.000000
4.199696;16.535778;56.779968;-2.699137;0.015176;2.850000;0.000000
4.399681;16.355218;56.694086;-2.696394;0.012264;2.850000;0.000000
4.599667;16.174839;56.607747;-2.694233;0.009356;2.850000;0.000000
4.799652;15.994600;56.521060;-2.692652;0.006452;2.850000;0.000000
4.999638;15.814458;56.434134;-2.691651;0.003550;2.850000;0.000000
5.199623;15.634372;56.347076;-2.691231;0.000650;2.850000;0.000000
5.399609;15.454299;56.259996;-2.691391;-0.002251;2.850000;0.000000
5.599594;15.274197;56.173002;-2.692132;-0.005153;2.850000;0.000000
5.799580;15.094024;56.086203;-2.693452;-0.008057;2.850000;0.000000
5.999565;14.913747;55.999711;-2.695266;-0.010524;2.850000;0.000000
6.199551;14.733390;55.913628;-2.697234;-0.009615;2.850000;0.000000
6.399536;14.552883;55.827898;-2.699065;-0.008702;2.850000;0.000000
6.599522;14.372225;55.742482;-2.700712;-0.007787;2.850000;0.000000
6.799507;14.191416;55.657338;-2.702177;-0.006869;2.850000;0.000000
6.999493;14.010454;55.572425;-2.703458;-0.005949;2.850000;0.000000
7.199478;13.829340;55.487704;-2.704555;-0.005029;2.850000;0.000000
7.399464;13.648072;55.403133;-2.705469;-0.004108;2.850000;0.000000
7.599450;13.466652;55.318672;-2.706199;-0.003188;2.850000;0.000000
7.799435;13.285077;55.234280;-2.706745;-0.002270;2.850000;0.000000
7.999421;13.103354;55.149919;-2.707003;-0.000714;2.850000;0.000000
8.199406;12.921549;55.065534;-2.706605;0.004278;2.850000;0.000000
8.399392;12.739759;54.980967;-2.705247;0.009268;2.850000;0.000000
8.599377;12.558129;54.896063;-2.702887;0.014271;2.850000;0.000000
8.799363;12.376805;54.810669;-2.699523;0.019301;2.850000;0.000000
8.999348;12.195935;54.724632;-2.695150;0.024373;2.850000;0.000000
9.199334;12.015663;54.637799;-2.689760;0.029500;2.850000;0.000000
9.399319;11.836138;54.550016;-2.683347;0.034695;2.850000;0.000000
9.599305;11.657503;54.461131;-2.675899;0.039970;2.850000;0.000000
9.799290;11.479907;54.370989;-2.667410;0.045334;2.850000;0.000000
9.999276;11.303541;54.279463;-2.658760;0.044568;2.850000;0.000000
10.199261;11.128468;54.186759;-2.652837;0.017920;2.850000;0.000000
10.399247;10.953891;54.093523;-2.651946;-0.008929;2.850000;0.000000
10.599232;10.779141;54.000591;-2.656368;-0.035734;2.850000;0.000000
10.799218;10.603547;53.908797;-2.666079;-0.062240;2.850000;0.000000
10.999203;10.426437;53.818975;-2.681020;-0.088151;2.850000;0.000000
11.199189;10.247142;53.731962;-2.701089;-0.113112;2.850000;0.000000
11.399174;10.064991;53.648591;-2.726129;-0.136693;2.850000;0.000000
11.599160;9.879313;53.569697;-2.755921;-0.158389;2.850000;0.000000
11.799145;9.689438;53.496115;-2.790118;-0.177638;2.850000;0.000000
11.999131;9.495024;53.428778;-2.825171;-0.171810;2.850000;0.000000
12.199116;9.297165;53.367676;-2.851641;-0.091558;2.850000;-0.287553
12.399102;9.096832;53.309973;-2.862859;-0.016346;2.829750;-2.608173
12.599087;8.896350;53.252969;-2.858491;0.058493;2.638995;-2.173818
12.799073;8.698044;53.193960;-2.838268;0.137785;2.468771;-1.795261
12.999058;8.504239;53.130245;-2.801262;0.226294;2.318788;-1.435019
13.199044;8.317260;53.059121;-2.745971;0.328078;2.191532;-1.062674
13.399029;8.139433;52.977887;-2.670553;0.444768;2.092313;-0.654326
13.599015;7.973082;52.883840;-2.573365;0.572114;2.028808;-0.203914
13.799000;7.820533;52.774278;-2.453869;0.695275;2.008607;-0.008992
13.998986;7.683855;52.646235;-2.320029;0.744250;2.007711;-0.008992
14.198971;7.563068;52.497484;-2.198070;0.557265;2.006815;0.746737
14.398957;7.456503;52.332623;-2.105872;0.384054;2.079899;1.328938
14.598943;7.360519;52.155776;-2.043791;0.235584;2.203978;1.844812
14.798928;7.271481;51.971069;-2.008813;0.107324;2.365457;2.165464
14.998914;7.185750;51.782624;-1.998866;-0.010721;2.541950;-2.292453
15.198899;7.099688;51.594566;-2.013323;-0.129841;2.354697;-1.744658
15.398885;7.009658;51.411020;-2.053100;-0.261236;2.201541;-1.200322
15.598870;6.912021;51.236111;-2.120503;-0.414369;2.089663;-0.556356
15.798856;6.803141;51.073961;-2.218562;-0.591890;2.035722;-0.009237
15.998841;6.679412;50.928705;-2.342843;-0.724555;2.034814;-0.009237
16.198827;6.538990;50.802661;-2.471916;-0.653627;2.033906;0.286864
16.398812;6.383393;50.694339;-2.587330;-0.560489;2.061920;0.607591
16.598798;6.214620;50.601881;-2.685899;-0.463049;2.120031;0.908786
16.798783;6.034670;50.523430;-2.767833;-0.372195;2.204092;1.181030
16.998769;5.845541;50.457130;-2.834319;-0.292275;2.308765;1.430167
17.198754;5.649232;50.401122;-2.886865;-0.223486;2.429490;1.667722
17.398740;5.447741;50.353549;-2.926895;-0.163975;2.563096;1.908119
17.598725;5.243068;50.312554;-2.955552;-0.111060;2.707888;1.974754
17.798711;5.037211;50.276280;-2.973618;-0.061762;2.850000;0.000000
17.998696;4.832258;50.242892;-2.983073;-0.026253;2.850000;0.000000
18.198682;4.629556;50.211112;-2.988341;-0.022303;2.850000;0.000000
18.398667;4.428721;50.180560;-2.992438;-0.018005;2.850000;0.000000
18.598653;4.229480;50.150993;-2.995605;-0.013404;2.850000;0.000000
18.798638;4.031559;50.122164;-2.997803;-0.008553;2.850000;0.000000
18.998624;3.834684;50.093831;-2.999005;-0.003511;2.850000;0.000000
19.198609;3.638581;50.065747;-2.999190;0.001655;2.850000;0.000000
19.398595;3.442976;50.037670;-2.998348;0.006876;2.850000;0.000000
19.598580;3.247597;50.009355;-2.996476;0.012079;2.850000;0.000000
19.798566;3.052168;49.980556;-2.993589;0.017191;2.850000;0.000000
19.998551;2.856383;49.951027;-2.990038;0.019162;2.850000;0.000000
20.198537;2.660058;49.920671;-2.986672;0.015180;2.850000;0.000000
20.398522;2.463303;49.889639;-2.984038;0.011275;2.850000;0.000000
20.598508;2.266176;49.858094;-2.982172;0.007432;2.850000;0.000000
20.798493;2.068734;49.826198;-2.981065;0.003636;2.850000;0.000000
20.998479;1.871034;49.794113;-2.980714;-0.000127;2.850000;0.000000
21.198464;1.673134;49.762000;-2.981115;-0.003872;2.850000;0.000000
21.398450;1.475090;49.730021;-2.982267;-0.007612;2.850000;0.000000
21.598435;1.276960;49.698340;-2.984170;-0.011360;2.850000;0.000000
21.798421;1.078801;49.667116;-2.986822;-0.015131;2.850000;0.000000
21.998407;0.880664;49.636510;-2.989980;-0.016671;2.850000;0.000000
22.198392;0.682579;49.606580;-2.993082;-0.014525;2.850000;0.000000
22.398378;0.484545;49.577246;-2.995773;-0.012365;2.850000;0.000000
22.598363;0.286556;49.548419;-2.998030;-0.010193;2.850000;0.000000
22.798349;0.088604;49.520010;-2.999850;-0.008011;2.850000;0.000000
22.998334;-0.109319;49.491928;-3.001233;-0.005822;2.850000;0.000000
23.198320;-0.307222;49.464084;-3.002177;-0.003627;2.850000;0.000000
23.398305;-0.505112;49.436388;-3.002683;-0.001430;2.850000;0.000000
23.598291;-0.702998;49.408750;-3.002749;0.000769;2.850000;0.000000
23.798276;-0.900887;49.381081;-3.002378;0.002968;2.850000;0.000000
23.998262;-1.098795;49.353291;-3.001658;0.004325;2.850000;0.000000
24.198247;-1.296728;49.325325;-3.000776;0.004562;2.850000;0.000000
24.398233;-1.494667;49.297174;-2.999840;0.004799;2.850000;0.000000
24.598218;-1.692608;49.268829;-2.998856;0.005036;2.850000;0.000000
24.798204;-1.890544;49.240281;-2.997825;0.005274;2.850000;0.000000
24.998189;-2.088468;49.211522;-2.996747;0.005512;2.850000;0.000000
25.198175;-2.286376;49.182542;-2.995620;0.005751;2.850000;0.000000
25.398160;-2.484260;49.153333;-2.994446;0.005990;2.850000;0.000000
25.598146;-2.682115;49.123886;-2.993224;0.006229;2.850000;0.000000
25.798131;-2.879934;49.094193;-2.991956;0.006469;2.850000;0.000000
25.998117;-3.077700;49.064246;-2.990681;0.006312;2.850000;0.000000
26.198102;-3.275411;49.034054;-2.989480;0.005717;2.850000;0.000000
26.398088;-3.473081;49.003636;-2.988396;0.005123;2.850000;0.000000
26.598073;-3.670717;48.973016;-2.987431;0.004528;2.850000;0.000000
26.798059;-3.868320;48.942218;-2.986585;0.003934;2.850000;0.000000
26.998044;-4.065895;48.911265;-2.985858;0.003339;2.850000;0.000000
27.198030;-4.263446;48.880180;-2.985249;0.002744;2.850000;0.000000
27.398015;-4.460976;48.848988;-2.984760;0.002149;2.850000;0.000000
27.598001;-4.658488;48.817712;-2.984390;0.001554;2.850000;0.000000
27.797986;-4.855987;48.786375;-2.984140;0.000959;2.850000;0.000000
27.997972;-5.053493;48.754998;-2.984054;-0.000064;2.850000;0.000000
28.197957;-5.251012;48.723623;-2.984210;-0.001477;2.850000;0.000000
28.397943;-5.448536;48.692307;-2.984646;-0.002890;2.850000;0.000000
28.597928;-5.646075;48.661105;-2.985365;-0.004303;2.850000;0.000000
28.797914;-5.843637;48.630074;-2.986367;-0.005716;2.850000;0.000000
28.997900;-6.041233;48.599269;-2.987652;-0.007129;2.850000;0.000000
29.197885;-6.238870;48.568746;-2.989219;-0.008542;2.850000;0.000000
29.397871;-6.436559;48.538561;-2.991068;-0.009955;2.850000;0.000000
29.597856;-6.634307;48.508770;-2.993200;-0.011368;2.850000;0.000000
29.797842;-6.832125;48.479428;-2.995605;-0.012780;2.850000;0.000000
29.997827;-7.030011;48.450588;-2.998105;-0.012362;2.850000;0.000000
30.197813;-7.227966;48.422236;-3.000394;-0.010575;2.850000;0.000000
30.397798;-7.425985;48.394302;-3.002330;-0.008789;2.850000;0.000000
30.597784;-7.624058;48.366716;-3.003909;-0.007004;2.850000;0.000000
30.797769;-7.822173;48.339407;-3.005131;-0.005218;2.850000;0.000000
