# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;14.350000;24.500000;-0.181135;-2.072873;1.203024;-0.003229
0.199828;14.507300;24.471192;-0.323964;-1.697153;1.202487;0.542731
0.399657;14.658817;24.396301;-0.571965;-1.228091;1.289528;0.954119
0.599485;14.801570;24.281757;-0.764043;-0.882425;1.429756;1.191584
0.799313;14.932577;24.133990;-0.916379;-0.670419;1.587585;1.304636
0.999142;15.048859;23.959430;-1.044091;-0.553110;1.744085;1.310745
1.198970;15.147433;23.764505;-1.158792;-0.500086;1.888301;1.208897
1.398798;15.225319;23.555645;-1.269583;-0.495719;2.012169;0.983887
1.598627;15.279536;23.339281;-1.382951;-0.535962;2.107615;0.609323
1.798455;15.306807;23.126952;-1.500146;-0.581789;2.164616;0.263538
1.998283;15.308640;22.928022;-1.614181;-0.534710;2.188809;0.427576
2.198112;15.289650;22.731717;-1.713243;-0.466951;2.227503;0.672027
2.397940;15.252688;22.537893;-1.797904;-0.389856;2.286996;0.949249
2.597769;15.200607;22.346408;-1.867543;-0.311745;2.368486;1.238680
2.797597;15.136257;22.157117;-1.922376;-0.237034;2.470783;1.539342
2.997425;15.062489;21.969879;-1.962990;-0.166960;2.592292;1.863040
3.197254;14.982154;21.784549;-1.989997;-0.100683;2.732134;1.646273
3.397082;14.898104;21.600985;-2.003810;-0.036141;2.850000;0.000000
3.596910;14.813190;21.419043;-2.005221;0.029453;2.850000;0.000000
3.796739;14.729567;21.237749;-1.998045;0.049765;2.850000;0.000000
3.996567;14.648406;21.057114;-1.986398;0.067892;2.850000;0.000000
4.196395;14.570078;20.876346;-1.971274;0.085597;2.850000;0.000000
4.396224;14.494941;20.694619;-1.952787;0.102302;2.850000;0.000000
4.596052;14.423351;20.511102;-1.931127;0.117427;2.850000;0.000000
4.795880;14.355664;20.324968;-1.906558;0.130433;2.850000;0.000000
4.995709;14.292237;20.135390;-1.879413;0.140862;2.850000;0.000000
5.195537;14.233426;19.941539;-1.850085;0.148387;2.850000;0.000000
5.395365;14.179587;19.742586;-1.819542;0.152839;2.850000;-0.705324
5.595194;14.131200;19.539085;-1.794284;0.094228;2.800109;-2.252452
5.795022;14.086320;19.332231;-1.783683;0.007149;2.634465;-2.551647
5.994850;14.041588;19.124524;-1.791178;-0.077958;2.433233;-2.150386
6.194679;13.993794;18.919209;-1.817191;-0.170099;2.249712;-1.800530
6.394507;13.939730;18.719531;-1.863350;-0.278504;2.083654;-1.458639
6.594335;13.876185;18.528735;-1.932484;-0.412314;1.938726;-1.088070
6.794164;13.799950;18.350067;-2.028314;-0.577454;1.823130;-0.656788
