# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-6.800000;14.650000;-1.618122;-0.802389;1.933606;-0.008341
0.199759;-6.615684;14.627828;-1.760415;-0.722378;1.932744;0.293221
0.399517;-6.434713;14.580856;-1.885708;-0.614905;1.962816;0.622393
0.599276;-6.257086;14.511978;-1.992176;-0.503472;2.025168;0.925960
0.799035;-6.082801;14.424084;-2.080290;-0.401725;2.114531;1.193815
0.998793;-5.911859;14.320066;-2.151680;-0.314509;2.224453;1.432712
1.198552;-5.744257;14.202816;-2.208303;-0.241493;2.349592;1.654505
1.398311;-5.579995;14.075227;-2.251960;-0.180073;2.486280;1.873070
1.598069;-5.419072;13.940190;-2.284088;-0.126932;2.632473;2.104916
1.797828;-5.261487;13.800596;-2.305672;-0.078615;2.787627;0.880156
1.997587;-5.108217;13.660215;-2.317969;-0.051703;2.850000;0.000000
2.197345;-4.959641;13.521087;-2.328890;-0.055581;2.850000;0.000000
2.397104;-4.814020;13.381619;-2.340468;-0.059211;2.850000;0.000000
2.596863;-4.671159;13.241500;-2.352653;-0.062519;2.850000;0.000000
2.796621;-4.530863;13.100422;-2.365389;-0.065435;2.850000;0.000000
2.996380;-4.392934;12.958074;-2.378610;-0.067895;2.850000;0.000000
3.196139;-4.257179;12.814150;-2.392245;-0.069848;2.850000;0.000000
3.395897;-4.123400;12.668338;-2.406215;-0.071252;2.850000;0.000000
3.595656;-3.991403;12.520330;-2.420438;-0.072083;2.850000;0.000000
3.795415;-3.860993;12.369818;-2.434828;-0.072331;2.850000;0.000000
3.995173;-3.732156;12.216825;-2.447565;-0.044902;2.850000;0.000000
4.194932;-3.604134;12.062011;-2.452289;-0.002341;2.850000;0.000000
4.394691;-3.475812;11.906683;-2.448534;0.039579;2.850000;0.000000
4.594449;-3.346197;11.752318;-2.436315;0.081788;2.850000;0.000000
4.794208;-3.214301;11.600392;-2.415529;0.125093;2.850000;0.000000
4.993967;-3.079131;11.452382;-2.385981;0.170065;2.850000;-1.289434
5.193725;-2.939697;11.309765;-2.347423;0.216876;2.758142;-1.117680
5.393484;-2.795008;11.174017;-2.299627;0.265095;2.675970;-0.881115
5.593243;-2.644073;11.046615;-2.242474;0.313429;2.609367;-0.661725
5.793001;-2.485902;10.929036;-2.176086;0.359523;2.558207;-0.655643
5.992760;-2.313454;10.819019;-2.101080;0.368606;2.506488;-0.690751
6.192519;-2.132005;10.721753;-2.024332;0.378153;2.450820;-0.740222
6.392277;-1.944407;10.639269;-1.945145;0.395844;2.389725;-0.725655
6.592036;-1.752301;10.572760;-1.862157;0.421784;2.328277;-0.660362
6.791795;-1.557329;10.523420;-1.774009;0.455909;2.270913;-0.555230
6.991553;-1.361131;10.492442;-1.679401;0.497603;2.221536;-0.409441
7.191312;-1.165350;10.481019;-1.577191;0.545138;2.184409;-0.224768
7.391071;-0.971627;10.490345;-1.466577;0.594995;2.163757;-0.010435
7.590829;-0.781602;10.521614;-1.347347;0.641344;2.162794;-0.010435
7.790588;-0.599830;10.574887;-1.224608;0.620632;2.161830;0.089046
7.990347;-0.427214;10.648134;-1.117514;0.520319;2.170042;0.539268
8.190105;-0.259631;10.739627;-1.027783;0.420662;2.219128;0.917451
8.389864;-0.096555;10.846703;-0.954751;0.330082;2.300232;1.241711
8.589623;0.062540;10.966698;-0.897056;0.251072;2.405650;1.534096
8.789381;0.218181;11.096948;-0.853212;0.182748;2.529832;1.816124
8.989140;0.370895;11.234790;-0.821921;0.122700;2.669386;2.109787
9.188899;0.521208;11.377560;-0.802226;0.067967;2.822857;0.385414
9.388657;0.669646;11.522594;-0.793583;0.015399;2.850000;0.000000
9.588416;0.816737;11.667230;-0.795889;-0.038330;2.850000;0.000000
9.788175;0.962541;11.808546;-0.806717;-0.058719;2.850000;0.000000
9.987934;1.107953;11.946191;-0.819163;-0.065529;2.850000;0.000000
10.187692;1.253767;12.080656;-0.832785;-0.071705;2.850000;0.000000
10.387451;1.400607;12.212267;-0.847464;-0.077015;2.850000;0.000000
10.587210;1.549095;12.341351;-0.863053;-0.081259;2.850000;0.000000
10.786968;1.699853;12.468237;-0.879384;-0.084285;2.850000;0.000000
10.986727;1.853503;12.593251;-0.896272;-0.086002;2.850000;0.000000
11.186486;2.010667;12.716721;-0.913522;-0.086388;2.850000;0.000000
11.386244;2.171968;12.838975;-0.930936;-0.085486;2.850000;-0.999923
11.586003;2.338028;12.960339;-0.948323;-0.083400;2.779031;-2.174932
11.785762;2.512805;13.083091;-0.970129;-0.122607;2.618032;-1.995661
11.985520;2.692229;13.202161;-1.001303;-0.168051;2.461054;-1.825299
12.185279;2.874996;13.314125;-1.042966;-0.222726;2.308149;-1.647520
12.385038;3.059937;13.415655;-1.096927;-0.291882;2.160865;-1.447624
12.584796;3.245883;13.503423;-1.165733;-0.381693;2.022619;-1.209288
12.784555;3.431663;13.574100;-1.252679;-0.498568;1.899435;-0.911460
12.984314;3.616108;13.624358;-1.361571;-0.646105;1.801031;-0.527277
13.184072;3.798049;13.650869;-1.495905;-0.817489;1.741567;-0.038933
13.383831;3.976316;13.650305;-1.656988;-0.983529;1.737095;-0.006725
13.583590;4.148474;13.619766;-1.836419;-0.995086;1.736322;-0.006725
13.783348;4.313539;13.559948;-1.994905;-0.804892;1.735548;0.568845
13.983107;4.473847;13.474162;-2.123609;-0.614674;1.799830;1.001604
14.182866;4.629814;13.366141;-2.224390;-0.454304;1.907760;1.338419
14.382624;4.781853;13.239613;-2.301194;-0.328280;2.043103;1.620360
14.582383;4.930380;13.098311;-2.358019;-0.230581;2.195821;1.877467
14.782142;5.075809;12.945965;-2.398100;-0.152959;2.360448;2.135328
14.981900;5.218557;12.786304;-2.423707;-0.087787;2.534721;2.421651
15.181659;5.359036;12.623061;-2.436172;-0.028406;2.718879;1.827694
15.381418;5.497663;12.459966;-2.435924;0.031456;2.850000;0.000000
15.581176;5.634702;12.300705;-2.425610;0.051995;2.850000;0.000000
15.780935;5.770580;12.146171;-2.415190;0.049082;2.850000;0.000000
15.980694;5.905688;11.995575;-2.405644;0.045100;2.850000;0.000000
16.180452;6.040342;11.848191;-2.397122;0.040113;2.850000;0.000000
16.380211;6.174856;11.703292;-2.389757;0.034244;2.850000;0.000000
16.579970;6.309547;11.560151;-2.383662;0.027665;2.850000;0.000000
16.779728;6.444727;11.418041;-2.378924;0.020594;2.850000;0.000000
16.979487;6.580714;11.276235;-2.375595;0.013273;2.850000;0.000000
17.179246;6.717821;11.134006;-2.373699;0.005951;2.850000;0.000000
17.379004;6.856364;10.990628;-2.373226;-0.001130;2.850000;0.000000
17.578763;6.996781;10.844978;-2.377195;-0.041256;2.850000;0.000000
