# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;4.280000;23.260000;-0.075238;-0.337378;2.000000;0.000000
0.199731;4.477392;23.238503;-0.141468;-0.329731;2.000000;0.000000
0.399462;4.673190;23.204082;-0.206343;-0.323002;2.000000;0.000000
0.599193;4.866662;23.157083;-0.270087;-0.317417;2.000000;0.000000
0.798925;5.057075;23.097850;-0.332944;-0.313130;2.000000;0.000000
0.998656;5.243699;23.026727;-0.395179;-0.310239;2.000000;0.000000
1.198387;5.425803;22.944059;-0.457065;-0.308792;2.000000;0.000000
1.398118;5.602654;22.850189;-0.518877;-0.308795;2.000000;0.000000
1.597849;5.773522;22.745462;-0.580891;-0.310213;2.000000;0.000000
1.797580;5.937674;22.630222;-0.643374;-0.312972;2.000000;0.000000
1.997312;6.094399;22.504800;-0.706479;-0.313636;2.000000;0.000000
2.197043;6.243051;22.369661;-0.769009;-0.309075;2.000000;0.000000
2.396774;6.383040;22.225534;-0.830819;-0.306413;2.000000;0.000000
2.596505;6.513826;22.073143;-0.892260;-0.305735;2.000000;0.000000
2.796236;6.634866;21.913207;-0.953694;-0.307088;2.000000;0.000000
2.995967;6.745620;21.746448;-1.015485;-0.310493;2.000000;0.000000
3.195699;6.845547;21.573587;-1.077999;-0.315932;2.000000;0.000000
3.395430;6.934105;21.395346;-1.141595;-0.323348;2.000000;0.000000
3.595161;7.010754;21.212447;-1.206620;-0.332626;2.000000;0.000000
3.794892;7.074953;21.025609;-1.273401;-0.343572;2.000000;0.000000
3.994623;7.126295;20.835375;-1.340182;-0.322703;2.000000;0.000000
4.194354;7.165458;20.642319;-1.399770;-0.281767;2.000000;0.000000
4.394086;7.193914;20.446896;-1.451233;-0.239295;2.000000;0.000000
4.593817;7.213172;20.249472;-1.494491;-0.196989;2.000000;0.000000
4.793548;7.224739;20.050416;-1.529638;-0.155801;2.000000;0.000000
4.993279;7.230127;19.850094;-1.556852;-0.116085;2.000000;0.000000
5.193010;7.230843;19.648876;4.706853;-0.077760;2.000000;0.000000
5.392741;7.228398;19.447127;4.694941;-0.040453;2.000000;0.000000
5.592473;7.224301;19.245217;4.690494;-0.003622;2.000000;0.000000
