# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;9.050000;53.200000;-1.659333;-0.094968;2.850000;0.000000
0.199927;9.248967;53.180502;-1.677284;-0.084592;2.850000;0.000000
0.399853;9.447510;53.157650;-1.693145;-0.074116;2.850000;0.000000
0.599780;9.645679;53.131862;-1.706905;-0.063590;2.850000;0.000000
0.799707;9.843525;53.103555;-1.718560;-0.053046;2.850000;0.000000
0.999633;10.041097;53.073146;-1.728111;-0.042506;2.850000;0.000000
1.199560;10.238445;53.041053;-1.735557;-0.031981;2.850000;0.000000
1.399487;10.435619;53.007692;-1.740901;-0.021474;2.850000;0.000000
1.599413;10.632669;52.973481;-1.744146;-0.010980;2.850000;0.000000
1.799340;10.829644;52.938837;-1.745293;-0.000491;2.850000;0.000000
1.999267;11.026599;52.904177;-1.744344;0.009496;2.850000;0.000000
2.199193;11.223658;52.869807;-1.742678;0.007168;2.850000;0.000000
2.399120;11.420729;52.835727;-1.741477;0.004838;2.850000;0.000000
2.599047;11.617801;52.801842;-1.740743;0.002505;2.850000;0.000000
2.798973;11.814863;52.768061;-1.740475;0.000171;2.850000;0.000000
2.998900;12.011905;52.734290;-1.740675;-0.002165;2.850000;0.000000
3.198827;12.208914;52.700437;-1.741341;-0.004502;2.850000;0.000000
3.398753;12.405881;52.666409;-1.742474;-0.006839;2.850000;0.000000
3.598680;12.602793;52.632113;-1.744075;-0.009175;2.850000;0.000000
3.798607;12.799641;52.597456;-1.746142;-0.011511;2.850000;0.000000
3.998533;12.996410;52.562346;-1.748674;-0.013565;2.850000;0.000000
4.198460;13.193074;52.526722;-1.751284;-0.012555;2.850000;0.000000
4.398387;13.389660;52.490602;-1.753693;-0.011545;2.850000;0.000000
4.598313;13.586175;52.454026;-1.755900;-0.010536;2.850000;0.000000
4.798240;13.782627;52.417034;-1.757905;-0.009526;2.850000;0.000000
4.998167;13.979022;52.379665;-1.759708;-0.008517;2.850000;0.000000
5.198093;14.175369;52.341958;-1.761310;-0.007509;2.850000;0.000000
5.398020;14.371674;52.303954;-1.762711;-0.006500;2.850000;0.000000
