# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;2.200001;51.400002;-3.020446;0.220599;2.850000;0.000000
0.199983;2.003038;51.376023;-2.999705;0.208705;2.850000;0.000000
0.399966;1.806905;51.343849;-2.959398;0.196796;2.850000;0.000000
0.599950;1.611769;51.303936;-2.921362;0.185075;2.850000;0.000000
0.799933;1.417795;51.256742;-2.885547;0.173697;2.850000;0.000000
0.999916;1.225151;51.202723;-2.851886;0.162771;2.850000;0.000000
1.199899;1.034002;51.142336;-2.820300;0.152368;2.850000;0.000000
1.399882;0.844514;51.076038;-2.790700;0.142525;2.850000;0.000000
1.599866;0.656853;51.004285;-2.762998;0.133257;2.850000;0.000000
1.799849;0.471187;50.927534;-2.737101;0.124559;2.850000;0.000000
1.999832;0.287678;50.846242;-2.712876;0.116416;2.850000;0.000000
2.199815;0.106145;50.760685;-2.690159;0.109896;2.850000;0.000000
2.399798;-0.073179;50.671289;-2.668810;0.103166;2.850000;0.000000
2.599782;-0.250419;50.578313;-2.648848;0.096281;2.850000;0.000000
2.799765;-0.425698;50.482015;-2.630290;0.089287;2.850000;0.000000
2.999748;-0.599140;50.382656;-2.613147;0.082223;2.850000;0.000000
3.199731;-0.770870;50.280493;-2.597426;0.075119;2.850000;0.000000
3.399714;-0.941011;50.175787;-2.583130;0.067998;2.850000;0.000000
3.599698;-1.109687;50.068797;-2.570259;0.060878;2.850000;0.000000
3.799681;-1.277023;49.959781;-2.558810;0.053768;2.850000;0.000000
3.999664;-1.443149;49.848995;-2.548714;0.046762;2.850000;0.000000
4.199647;-1.608450;49.736488;-2.539697;0.042996;2.850000;0.000000
4.399630;-1.772747;49.622586;-2.531480;0.039208;2.850000;0.000000
4.599614;-1.936134;49.507408;-2.524022;0.035405;2.850000;0.000000
4.799597;-2.098704;49.391076;-2.517325;0.031593;2.850000;0.000000
4.999580;-2.260550;49.273708;-2.511390;0.027775;2.850000;0.000000
5.199563;-2.421767;49.155425;-2.506219;0.023954;2.850000;0.000000
5.399546;-2.582448;49.036348;-2.501810;0.020134;2.850000;0.000000
5.599530;-2.742685;48.916596;-2.498164;0.016316;2.850000;0.000000
5.799513;-2.902574;48.796290;-2.495281;0.012502;2.850000;0.000000
5.999496;-3.062198;48.675555;-2.492971;0.009306;2.850000;0.000000
6.199479;-3.221482;48.554547;-2.490419;0.014923;2.850000;0.000000
6.399462;-3.380430;48.433044;-2.486871;0.020543;2.850000;0.000000
6.599446;-3.538886;48.310882;-2.482198;0.026171;2.850000;0.000000
6.799429;-3.696690;48.187900;-2.476398;0.031812;2.850000;0.000000
6.999412;-3.853687;48.063932;-2.469468;0.037467;2.850000;0.000000
7.199395;-4.009718;47.938818;-2.461408;0.043138;2.850000;0.000000
7.399378;-4.164627;47.812392;-2.452214;0.048823;2.850000;0.000000
7.599362;-4.318255;47.684494;-2.441885;0.054518;2.850000;0.000000
7.799345;-4.470445;47.554958;-2.430420;0.060218;2.850000;0.000000
7.999328;-4.621040;47.423623;-2.418091;0.064723;2.850000;0.000000
8.199311;-4.769960;47.290402;-2.405992;0.057915;2.850000;0.000000
8.399294;-4.917340;47.155455;-2.395101;0.051089;2.850000;0.000000
8.599278;-5.063362;47.018986;-2.385572;0.044257;2.850000;0.000000
8.799261;-5.208206;46.881196;-2.377407;0.037430;2.850000;0.000000
8.999244;-5.352055;46.742288;-2.370604;0.030612;2.850000;0.000000
9.199227;-5.495088;46.602465;-2.365162;0.023807;2.850000;0.000000
9.399210;-5.637488;46.461929;-2.361078;0.017014;2.850000;0.000000
9.599194;-5.779435;46.320882;-2.358352;0.010231;2.850000;0.000000
9.799177;-5.921110;46.179528;-2.356982;0.003456;2.850000;0.000000
9.999160;-6.062692;46.038071;-2.356670;-0.001737;2.850000;0.000000
10.199143;-6.204260;45.896647;-2.356296;0.004071;2.850000;0.000000
10.399126;-6.345704;45.755117;-2.354900;0.009883;2.850000;0.000000
10.599110;-6.486850;45.613324;-2.352341;0.015699;2.850000;0.000000
10.799093;-6.627529;45.471111;-2.348618;0.021522;2.850000;0.000000
10.999076;-6.767567;45.328321;-2.343731;0.027353;2.850000;0.000000
11.199059;-6.906795;45.184795;-2.337678;0.033191;2.850000;0.000000
11.399042;-7.045040;45.040377;-2.330458;0.039034;2.850000;0.000000
11.599026;-7.182131;44.894909;-2.322072;0.044878;2.850000;0.000000
11.799009;-7.317896;44.748234;-2.312519;0.050716;2.850000;0.000000
11.998992;-7.452159;44.600201;-2.302080;0.054864;2.850000;0.000000
12.198975;-7.584802;44.450757;-2.291729;0.049820;2.850000;0.000000
12.398958;-7.715972;44.299976;-2.282276;0.044772;2.850000;0.000000
12.598942;-7.845816;44.147994;-2.273831;0.039727;2.850000;0.000000
12.798925;-7.974479;43.994949;-2.266392;0.034688;2.850000;0.000000
12.998908;-8.102107;43.840980;-2.259957;0.029659;2.850000;0.000000
13.198891;-8.228847;43.686223;-2.254526;0.024640;2.850000;0.000000
13.398875;-8.354843;43.530817;-2.250098;0.019631;2.850000;0.000000
13.598858;-8.480244;43.374898;-2.246671;0.014629;2.850000;0.000000
13.798841;-8.605193;43.218606;-2.244243;0.009633;2.850000;0.000000
13.998824;-8.729848;43.062064;-2.242720;0.005264;2.850000;0.000000
14.198807;-8.854362;42.905339;-2.241787;0.003741;2.850000;0.000000
14.398791;-8.978743;42.748542;-2.241191;0.002218;2.850000;0.000000
14.598774;-9.103034;42.591714;-2.240899;0.000693;2.850000;0.000000
14.798757;-9.227280;42.434899;-2.240913;-0.000833;2.850000;0.000000
14.998740;-9.351524;42.278141;-2.241233;-0.002361;2.850000;0.000000
15.198723;-9.475809;42.121482;-2.241858;-0.003891;2.850000;0.000000
15.398707;-9.600181;41.964964;-2.242789;-0.005424;2.850000;0.000000
15.598690;-9.724682;41.808632;-2.244026;-0.006960;2.850000;0.000000
15.798673;-9.849357;41.652528;-2.245568;-0.008499;2.850000;0.000000
15.998656;-9.974248;41.496695;-2.247029;-0.007242;2.850000;0.000000
16.198639;-10.099284;41.341072;-2.247191;0.004534;2.850000;0.000000
16.398623;-10.224154;41.185368;-2.245110;0.016320;2.850000;0.000000
16.598606;-10.348511;41.029265;-2.240677;0.028096;2.850000;0.000000
16.798589;-10.472010;40.872443;-2.233896;0.039841;2.850000;0.000000
16.998572;-10.594304;40.714583;-2.224773;0.051525;2.850000;0.000000
17.198555;-10.715048;40.555367;-2.213318;0.063108;2.850000;0.000000
17.398539;-10.833895;40.394476;-2.199549;0.074542;2.850000;0.000000
17.598522;-10.950499;40.231591;-2.183490;0.085760;2.850000;0.000000
17.798505;-11.064516;40.066394;-2.165178;0.096682;2.850000;0.000000
17.998488;-11.175551;39.898636;-2.144406;0.109248;2.850000;0.000000
18.198471;-11.282976;39.728259;-2.120386;0.128555;2.850000;0.000000
18.398455;-11.386023;39.555031;-2.092437;0.148827;2.850000;0.000000
18.598438;-11.483734;39.378958;-2.060318;0.170231;2.850000;0.000000
18.798421;-11.575147;39.200052;-2.023851;0.192833;2.850000;0.000000
18.998404;-11.659302;39.018321;-1.982855;0.216570;2.850000;0.000000
19.198387;-11.735240;38.833773;-1.937171;0.241202;2.850000;0.000000
19.398371;-11.802000;38.646420;-1.886686;0.266266;2.850000;0.000000
19.598354;-11.858622;38.456268;-1.831369;0.291029;2.850000;-0.207379
19.798337;-11.904145;38.263328;-1.771209;0.314478;2.835411;-0.422801
19.998320;-11.937694;38.067015;-1.706964;0.329683;2.805432;-0.414487
20.198303;-11.958511;37.866538;-1.640961;0.329569;2.775728;-0.473122
20.398287;-11.965960;37.664831;-1.574024;0.333531;2.741429;-0.508684
20.598270;-11.959813;37.463176;-1.505916;0.341452;2.704067;-0.504648
20.798253;-11.939843;37.262856;-1.435971;0.353188;2.666484;-0.463577
20.998236;-11.905822;37.065155;-1.363549;0.368516;2.631487;-0.396149
21.198219;-11.857523;36.871354;-1.288050;0.387059;2.601206;-0.302283
21.398203;-11.794719;36.682738;-1.208942;0.408185;2.577862;-0.182621
21.598186;-11.717181;36.500589;-1.125802;0.430904;2.563656;-0.039483
21.798169;-11.624682;36.326190;-1.038622;0.453767;2.560574;-0.014613
21.998152;-11.517561;36.161584;-0.949292;0.457967;2.559432;-0.014613
22.198135;-11.396774;36.007964;-0.861889;0.433580;2.558290;0.147682
22.398119;-11.262704;35.864419;-0.778992;0.409694;2.569809;0.279681
22.598102;-11.116551;35.731308;-0.700123;0.387662;2.591482;0.381567
22.798085;-10.959519;35.608987;-0.624837;0.368372;2.620762;0.454552
22.998068;-10.792810;35.497814;-0.552598;0.352356;2.655221;0.500089
23.198051;-10.617627;35.398147;-0.482812;0.339898;2.692623;0.519494
23.398035;-10.435172;35.310344;-0.414857;0.331127;2.730933;0.513819
23.598018;-10.246648;35.234761;-0.348095;0.326093;2.768304;0.483888
23.798001;-10.053257;35.171758;-0.281946;0.324811;2.803042;0.430421
23.997984;-9.856515;35.121755;-0.216221;0.323261;2.833584;0.233269
24.197967;-9.657692;35.084870;-0.151359;0.317487;2.850000;0.000000
24.397951;-9.457213;35.060851;-0.087656;0.313213;2.850000;0.000000
24.597934;-9.255976;35.049567;-0.024759;0.310641;2.850000;0.000000
24.797917;-9.054882;35.050887;0.037662;0.309926;2.850000;0.000000
