# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;3.900001;52.350002;-1.615140;-0.028236;2.850000;0.000000
0.199965;4.100328;52.340538;-1.620903;-0.029245;2.850000;0.000000
0.399930;4.300445;52.329907;-1.626865;-0.030255;2.850000;0.000000
0.599895;4.500350;52.318073;-1.633025;-0.031266;2.850000;0.000000
0.799860;4.700040;52.304996;-1.639383;-0.032277;2.850000;0.000000
0.999825;4.899512;52.290640;-1.645939;-0.033287;2.850000;0.000000
1.199790;5.098763;52.274966;-1.652693;-0.034296;2.850000;0.000000
1.399754;5.297791;52.257936;-1.659645;-0.035303;2.850000;0.000000
1.599719;5.496592;52.239513;-1.666793;-0.036306;2.850000;0.000000
1.799684;5.695165;52.219659;-1.674138;-0.037305;2.850000;0.000000
1.999649;5.893521;52.198334;-1.681679;-0.038092;2.850000;0.000000
2.199614;6.092137;52.175492;-1.688730;-0.032432;2.850000;0.000000
2.399579;6.290561;52.151368;-1.694645;-0.026752;2.850000;0.000000
2.599544;6.488838;52.126185;-1.699423;-0.021059;2.850000;0.000000
2.799509;6.687010;52.100167;-1.703063;-0.015359;2.850000;0.000000
2.999474;6.885120;52.073539;-1.705563;-0.009658;2.850000;0.000000
3.199439;7.083213;52.046523;-1.706924;-0.003958;2.850000;0.000000
3.399404;7.281330;52.019345;-1.707146;0.001735;2.850000;0.000000
3.599369;7.479516;51.992227;-1.706230;0.007420;2.850000;0.000000
3.799333;7.677814;51.965393;-1.704178;0.013092;2.850000;0.000000
3.999298;7.876224;51.939073;-1.701000;0.017772;2.850000;0.000000
4.199263;8.074362;51.913449;-1.697997;0.012293;2.850000;0.000000
4.399228;8.272646;51.888301;-1.696086;0.006829;2.850000;0.000000
4.599193;8.471031;51.863416;-1.695266;0.001377;2.850000;0.000000
4.799158;8.669471;51.838579;-1.695535;-0.004068;2.850000;0.000000
4.999123;8.867924;51.813576;-1.696893;-0.009510;2.850000;0.000000
5.199088;9.066343;51.788195;-1.699340;-0.014954;2.850000;0.000000
5.399053;9.264686;51.762219;-1.702876;-0.020401;2.850000;0.000000
5.599018;9.462907;51.735437;-1.707502;-0.025856;2.850000;0.000000
5.798983;9.660962;51.707633;-1.713219;-0.031320;2.850000;0.000000
5.998948;9.858816;51.678592;-1.720012;-0.035298;2.850000;0.000000
6.198913;10.056506;51.648206;-1.726367;-0.028249;2.850000;0.000000
6.398877;10.254000;51.616708;-1.731311;-0.021190;2.850000;0.000000
6.598842;10.451345;51.584374;-1.734842;-0.014126;2.850000;0.000000
6.798807;10.648588;51.551486;-1.736961;-0.007061;2.850000;0.000000
6.998772;10.845777;51.518319;-1.737666;0.000007;2.850000;0.000000
7.198737;11.042960;51.485155;-1.736958;0.007075;2.850000;0.000000
7.398702;11.240184;51.452270;-1.734836;0.014145;2.850000;0.000000
7.598667;11.437496;51.419944;-1.731301;0.021214;2.850000;0.000000
7.798632;11.634944;51.388455;-1.726353;0.028281;2.850000;0.000000
7.998597;11.832565;51.358082;-1.720023;0.033406;2.850000;0.000000
8.198562;12.030341;51.328987;-1.713887;0.027984;2.850000;0.000000
8.398527;12.228299;51.300994;-1.708834;0.022565;2.850000;0.000000
8.598492;12.426404;51.273892;-1.704863;0.017151;2.850000;0.000000
8.798456;12.624621;51.247467;-1.701974;0.011741;2.850000;0.000000
8.998421;12.822916;51.221506;-1.700167;0.006334;2.850000;0.000000
9.198386;13.021251;51.195794;-1.699441;0.000930;2.850000;0.000000
9.398351;13.219593;51.170119;-1.699795;-0.004475;2.850000;0.000000
9.598316;13.417905;51.144268;-1.701231;-0.009880;2.850000;0.000000
9.798281;13.616153;51.118026;-1.703747;-0.015289;2.850000;0.000000
9.998246;13.814304;51.091181;-1.707320;-0.019317;2.850000;0.000000
10.198211;14.012349;51.063597;-1.710985;-0.017348;2.850000;0.000000
10.398176;14.210283;51.035329;-1.714257;-0.015375;2.850000;0.000000
10.598141;14.408123;51.006453;-1.717134;-0.013401;2.850000;0.000000
10.798106;14.605885;50.977047;-1.719615;-0.011425;2.850000;0.000000
10.998071;14.803586;50.947189;-1.721702;-0.009448;2.850000;0.000000
11.198036;15.001239;50.916956;-1.723393;-0.007470;2.850000;0.000000
11.398000;15.198862;50.886425;-1.724690;-0.005493;2.850000;0.000000
11.597965;15.396471;50.855674;-1.725591;-0.003517;2.850000;0.000000
11.797930;15.594080;50.824781;-1.726096;-0.001541;2.850000;0.000000
11.997895;15.791679;50.793827;-1.726211;0.000267;2.850000;0.000000
12.197860;15.989210;50.762892;-1.726036;0.001484;2.850000;0.000000
12.397825;16.186772;50.732012;-1.725617;0.002700;2.850000;0.000000
12.597790;16.384366;50.701236;-1.724956;0.003916;2.850000;0.000000
12.797755;16.581993;50.670614;-1.724051;0.005133;2.850000;0.000000
12.997720;16.779655;50.640194;-1.722903;0.006349;2.850000;0.000000
13.197685;16.977353;50.610025;-1.721511;0.007567;2.850000;0.000000
13.397650;17.175088;50.580157;-1.719876;0.008786;2.850000;0.000000
13.597615;17.372862;50.550639;-1.717997;0.010006;2.850000;0.000000
13.797579;17.570675;50.521519;-1.715874;0.011228;2.850000;0.000000
13.997544;17.768561;50.492841;-1.713531;0.011487;2.850000;0.000000
14.197509;17.966583;50.464597;-1.711500;0.008817;2.850000;0.000000
14.397474;18.164632;50.436706;-1.710004;0.006144;2.850000;0.000000
14.597439;18.362696;50.409060;-1.709043;0.003469;2.850000;0.000000
14.797404;18.560764;50.381554;-1.708617;0.000793;2.850000;0.000000
14.997369;18.758823;50.354082;-1.708726;-0.001883;2.850000;0.000000
15.197334;18.956861;50.326536;-1.709370;-0.004561;2.850000;0.000000
15.397299;19.154867;50.298811;-1.710549;-0.007238;2.850000;0.000000
15.597264;19.352828;50.270799;-1.712264;-0.009915;2.850000;0.000000
15.797229;19.550733;50.242396;-1.714514;-0.012592;2.850000;0.000000
15.997194;19.748572;50.213494;-1.717262;-0.013958;2.850000;0.000000
16.197159;19.946342;50.184050;-1.719855;-0.011976;2.850000;0.000000
16.397123;20.144048;50.154131;-1.722052;-0.009995;2.850000;0.000000
16.597088;20.341700;50.123816;-1.723852;-0.008014;2.850000;0.000000
16.797053;20.539308;50.093184;-1.725257;-0.006034;2.850000;0.000000
